Tournament,Stage,Match Type,Map,Agent,Pick Rate
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Lotus,viper,100.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Lotus,skye,100.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Lotus,raze,100.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Lotus,omen,100.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Lotus,brimstone,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Lotus,killjoy,100.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Lotus,chamber,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Lotus,cypher,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Lotus,astra,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Lotus,sova,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Lotus,sage,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Lotus,reyna,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Lotus,phoenix,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Lotus,kayo,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Lotus,neon,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Lotus,breach,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Lotus,jett,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Lotus,iso,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Lotus,harbor,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Lotus,gekko,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Lotus,fade,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Lotus,deadlock,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Lotus,yoru,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Bind,viper,100.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Bind,skye,100.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Bind,raze,100.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Bind,omen,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Bind,brimstone,100.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Bind,killjoy,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Bind,chamber,50.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Bind,cypher,50.0
